image_name,image_path,source_type,processing_channel,method,strength,mse,psnr,ssim,nc,ber
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,2.0,25.022029876708984,34.147578225570776,0.9573400394854321,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,5.0,105.22240447998047,27.909721390534536,0.8556143886518931,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,10.0,334.6378593444824,22.88505287438572,0.6998511269062017,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,20.0,964.4291458129883,18.28810034240798,0.4828786886235998,0.97119140625,0.014404296875
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,40.0,2374.6657180786133,14.374778782803531,0.27073917599346164,0.82470703125,0.087646484375
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,2.0,0.46152496337890625,51.4888516435863,0.9995549341294213,0.72265625,0.138671875
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,5.0,0.5059471130371094,51.08975238724875,0.9992351847753421,0.958984375,0.0205078125
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,10.0,0.6521835327148438,49.987105319627716,0.9982789478956955,0.97265625,0.013671875
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,20.0,1.2253074645996094,47.248352816168904,0.9946369056854345,0.9765625,0.01171875
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,40.0,3.510906219482422,42.67661131774317,0.9817864958988457,0.986328125,0.0068359375
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,0.01,0.0,inf,1.0,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,0.03,0.0,inf,1.0,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,0.05,0.0,inf,1.0,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dwt,0.1,0.0622406005859375,60.190065861745154,0.9996612291605571,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dft,2.0,22.704003228081596,34.569779210060126,0.9522257900722229,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dft,5.0,98.62953440348309,28.19073377896131,0.8458308484836665,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dft,10.0,309.0069287618002,23.23112143290067,0.6911210486530689,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dft,20.0,881.6845050387911,18.677671524168872,0.48873004706692463,0.97314453125,0.013427734375
house_color,data/misc/house.tiff,color,Y,dft,40.0,2157.3823038736978,14.791532487969803,0.2929579951655634,0.8349609375,0.08251953125
house_color,data/misc/house.tiff,color,Y,dct,2.0,0.4331601460774741,51.764318693662844,0.9989443122550434,0.5625,0.21875
house_color,data/misc/house.tiff,color,Y,dct,5.0,0.4944771660698786,51.1893411929025,0.9982522690883312,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dct,10.0,0.6478525797526042,50.01604168398225,0.9967590549932648,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dct,20.0,1.2394938998752174,47.1983596712353,0.9912288848452138,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dct,40.0,3.636308034261067,42.52419695362683,0.9715254035762665,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,0.01,0.09162055121527801,58.510874605809406,0.9994532211499736,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,0.03,0.09162055121527801,58.510874605809406,0.9994532211499736,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,0.05,0.09162055121527801,58.510874605809406,0.9994532211499736,1.0,0.0
house_color,data/misc/house.tiff,color,Y,dwt,0.1,0.15419048733181448,56.250227798036676,0.9993370475703564,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,2.0,22.743574354383682,34.56221641923486,0.97791723229938,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,5.0,101.23319498697919,28.077574171803306,0.9183600816075144,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,10.0,319.89452022976343,23.08073560153478,0.8156109430630993,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,20.0,911.023409101698,18.535508243854967,0.6472698961279085,0.96630859375,0.016845703125
airplane_color,data/misc/4.2.03.tiff,color,Y,dft,40.0,2180.324460347493,14.745592338443688,0.43444223335233695,0.80859375,0.095703125
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,2.0,3.175994449191624,43.11200626145457,0.998159167092053,0.96875,0.015625
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,5.0,3.2536337110731344,43.007117016996816,0.9980994775522688,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,10.0,3.4411960177951397,42.76370949211188,0.9979361125897732,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,20.0,4.134927113850909,41.96612502198532,0.9973290451381567,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dct,40.0,6.662400987413194,39.89449593008083,0.9951488380552296,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,0.01,0.09045664469401044,58.56639886433268,0.9997873452702477,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,0.03,0.09045664469401044,58.56639886433268,0.9997873452702477,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,0.05,0.09045664469401044,58.56639886433268,0.9997873452702477,1.0,0.0
airplane_color,data/misc/4.2.03.tiff,color,Y,dwt,0.1,0.15262603759765625,56.294517314405745,0.9997578751395518,1.0,0.0
bsd_color,data/images/test/101085.jpg,color,Y,dft,2.0,17.411341607603294,35.72248124481731,0.9902498611854341,0.830078125,0.0849609375
bsd_color,data/images/test/101085.jpg,color,Y,dft,5.0,65.47158445289287,29.970275096232974,0.9590970953245835,0.830078125,0.0849609375
bsd_color,data/images/test/101085.jpg,color,Y,dft,10.0,183.84957135424423,25.486177392205676,0.895852820390498,0.8251953125,0.08740234375
bsd_color,data/images/test/101085.jpg,color,Y,dft,20.0,516.1019387467986,21.003448703593712,0.7739897727163666,0.80517578125,0.097412109375
bsd_color,data/images/test/101085.jpg,color,Y,dft,40.0,1310.2816914686073,16.957156881899085,0.5948367522603192,0.68603515625,0.156982421875
bsd_color,data/images/test/101085.jpg,color,Y,dct,2.0,2.11371688007202,44.8803354518921,0.9976524773844313,0.875,0.0625
bsd_color,data/images/test/101085.jpg,color,Y,dct,5.0,2.1890287123931986,44.72828902839426,0.9974889072584223,0.974609375,0.0126953125
bsd_color,data/images/test/101085.jpg,color,Y,dct,10.0,2.4449834449834453,44.2480443801223,0.9969801617128983,0.994140625,0.0029296875
bsd_color,data/images/test/101085.jpg,color,Y,dct,20.0,3.4102161111506906,42.80298459029002,0.9950060444154964,1.0,0.0
bsd_color,data/images/test/101085.jpg,color,Y,dct,40.0,7.235660534725955,39.53602177383505,0.9873872318627173,1.0,0.0
bsd_color,data/images/test/101085.jpg,color,Y,dwt,0.01,0.00563683741253828,70.62044852543337,0.9999936047313149,1.0,0.0
bsd_color,data/images/test/101085.jpg,color,Y,dwt,0.03,0.00563683741253828,70.62044852543337,0.9999936047313149,1.0,0.0
bsd_color,data/images/test/101085.jpg,color,Y,dwt,0.05,0.10173365313552225,58.056157210874204,0.9997087974200642,1.0,0.0
bsd_color,data/images/test/101085.jpg,color,Y,dwt,0.1,0.10173365313552225,58.056157210874204,0.9997087974200642,1.0,0.0
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dft,2.0,16.47917435767903,35.9614491205575,0.9765006698990478,0.8134765625,0.09326171875
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dft,5.0,61.99953656028422,30.20691917661003,0.917834423872209,0.8134765625,0.09326171875
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dft,10.0,175.94460600068078,25.67704403820304,0.8162916975302481,0.8046875,0.09765625
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dft,20.0,481.48220326725004,21.305001216725053,0.6503282986868115,0.787109375,0.1064453125
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dft,40.0,1210.5397575864868,17.30101303383524,0.4503783223577637,0.69921875,0.150390625
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dct,2.0,0.3999643065063626,52.11059124987437,0.999548854735832,0.1640625,0.41796875
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dct,5.0,0.5348396563349835,50.848567597930206,0.9985298493657426,1.0,0.0
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dct,10.0,0.7913492212557633,49.14712181548899,0.996612223556146,1.0,0.0
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dct,20.0,1.7486386458349075,45.70380288572723,0.9897167382118102,1.0,0.0
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dct,40.0,5.79397226126198,40.50103949187204,0.9630946535712839,1.0,0.0
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dwt,0.01,0.002785675682871964,73.68149807766981,0.9999859562846952,1.0,0.0
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dwt,0.03,0.002785675682871964,73.68149807766981,0.9999859562846952,1.0,0.0
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dwt,0.05,0.002785675682871964,73.68149807766981,0.9999859562846952,1.0,0.0
bsd_landscape_color,data/images/test/103070.jpg,color,Y,dwt,0.1,0.002785675682871964,73.68149807766981,0.9999859562846952,1.0,0.0
bsd_train_color,data/images/train/100075.jpg,color,Y,dft,2.0,16.365420776635727,35.991531847942056,0.9805676899030356,0.8134765625,0.09326171875
bsd_train_color,data/images/train/100075.jpg,color,Y,dft,5.0,62.63985840621355,30.162295935145373,0.9291717244699779,0.8134765625,0.09326171875
bsd_train_color,data/images/train/100075.jpg,color,Y,dft,10.0,179.6012043675595,25.587711162402353,0.8384148468622319,0.79833984375,0.100830078125
bsd_train_color,data/images/train/100075.jpg,color,Y,dft,20.0,486.17154897528735,21.26290820767368,0.6843622452264775,0.78857421875,0.105712890625
bsd_train_color,data/images/train/100075.jpg,color,Y,dft,40.0,1194.3021626946859,17.359661421239608,0.4853710095302339,0.69580078125,0.152099609375
bsd_train_color,data/images/train/100075.jpg,color,Y,dct,2.0,0.2863956695732397,53.56113913903407,0.9991935831361716,0.5859375,0.20703125
bsd_train_color,data/images/train/100075.jpg,color,Y,dct,5.0,0.3994382592513433,52.11630700468522,0.9985525005470406,1.0,0.0
bsd_train_color,data/images/train/100075.jpg,color,Y,dct,10.0,0.6639587106876826,49.90939287942733,0.9971351092549149,1.0,0.0
bsd_train_color,data/images/train/100075.jpg,color,Y,dct,20.0,1.6433536340078398,45.97349331351036,0.9919892140150194,1.0,0.0
bsd_train_color,data/images/train/100075.jpg,color,Y,dct,40.0,5.692126346331954,40.57805829451133,0.9721770015473732,1.0,0.0
bsd_train_color,data/images/train/100075.jpg,color,Y,dwt,0.01,0.0035268913773586897,72.65688276573306,0.9999867610367001,1.0,0.0
bsd_train_color,data/images/train/100075.jpg,color,Y,dwt,0.03,0.0035268913773586897,72.65688276573306,0.9999867610367001,1.0,0.0
