image_name,image_path,source_type,processing_channel,method,attack,level,mse,psnr,ssim,nc,ber
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,resize,0.5,202.57568740844727,25.064930395768556,0.6239189034881367,0.95263671875,0.023681640625
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,resize,0.75,104.28937911987305,27.948402789466364,0.8269378230642896,0.99853515625,0.000732421875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dft,resize,1.5,34.41487121582031,32.76334212152159,0.946889368698245,0.9990234375,0.00048828125
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,jpeg,90.0,0.2996177673339844,53.365127974135255,0.9940741715889228,0.931640625,0.0341796875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,jpeg,70.0,0.8002738952636719,49.09841710321377,0.9905125211931948,0.712890625,0.1435546875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,jpeg,50.0,1.3030586242675781,46.98116405920344,0.9890488654435214,0.712890625,0.1435546875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,jpeg,30.0,2.8461227416992188,43.5882673536096,0.9835008177853445,0.7109375,0.14453125
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,noise,5.0,24.177936553955078,34.2966112726583,0.7242918706022063,0.826171875,0.0869140625
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,noise,10.0,94.07081604003906,28.39625449434144,0.4124868273357789,0.53515625,0.232421875
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,noise,20.0,359.7942771911621,22.57026109596191,0.1685478643669118,0.283203125,0.3583984375
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,resize,0.5,9.620849609375,38.29866934945413,0.9844042926525421,0.71875,0.140625
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,resize,0.75,6.769489288330078,39.82524455495395,0.9903908013803442,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dct,resize,1.5,1.3577041625976562,46.80275211356431,0.9968658174728415,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dwt,jpeg,90.0,0.0861663818359375,58.7774250375473,0.9991782713947494,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dwt,jpeg,70.0,0.5762939453125,50.52436304068411,0.9908654666251505,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dwt,jpeg,50.0,1.0323486328125,47.99253973908401,0.994190656672246,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dwt,jpeg,30.0,2.5776138305664062,44.01862507515549,0.9886736279718484,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dwt,noise,5.0,24.167648315429688,34.29845968355232,0.7197732230346489,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dwt,noise,10.0,94.06344604492188,28.396594756468836,0.40770160621527696,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dwt,noise,20.0,359.7853889465332,22.5703683840296,0.16644044001676167,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dwt,resize,0.5,9.371601104736328,38.41266565972722,0.9887926262562227,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dwt,resize,0.75,6.6667633056640625,39.891653245017245,0.992122231442899,1.0,0.0
gray21_gray,data/misc/gray21.512.tiff,gray,gray,dwt,resize,1.5,1.3300247192382812,46.892206482248696,0.9973235726714285,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dft,jpeg,90.0,11.318374633789062,37.59296296052607,0.9708083131361527,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dft,jpeg,70.0,36.41899108886719,32.5175245045258,0.9136713243064651,0.99951171875,0.000244140625
texture_gray,data/misc/5.1.09.tiff,gray,gray,dft,jpeg,50.0,55.320831298828125,30.701916632957623,0.8766513320258928,0.99658203125,0.001708984375
texture_gray,data/misc/5.1.09.tiff,gray,gray,dft,jpeg,30.0,83.48933410644531,28.914493636428027,0.8255709329223149,0.97216796875,0.013916015625
texture_gray,data/misc/5.1.09.tiff,gray,gray,dft,noise,5.0,25.394760131835938,34.08336245845921,0.9388746699469696,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dft,noise,10.0,100.49641418457031,28.109297949087853,0.8038728727294768,0.98291015625,0.008544921875
texture_gray,data/misc/5.1.09.tiff,gray,gray,dft,noise,20.0,399.6575622558594,22.11392325834207,0.5423610452602505,0.89404296875,0.052978515625
texture_gray,data/misc/5.1.09.tiff,gray,gray,dft,resize,0.5,203.27606201171875,25.049941221626018,0.7176712675854274,0.810546875,0.0947265625
texture_gray,data/misc/5.1.09.tiff,gray,gray,dft,resize,0.75,95.48432922363281,28.331482593380617,0.8653084521208846,0.98681640625,0.006591796875
texture_gray,data/misc/5.1.09.tiff,gray,gray,dft,resize,1.5,31.545761108398438,33.14139350723943,0.9580094059973256,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dct,jpeg,90.0,10.87164306640625,37.76785175498405,0.9477972053721331,0.99609375,0.001953125
texture_gray,data/misc/5.1.09.tiff,gray,gray,dct,jpeg,70.0,29.0531005859375,33.49887873177464,0.8595910547141464,0.1328125,0.43359375
texture_gray,data/misc/5.1.09.tiff,gray,gray,dct,jpeg,50.0,38.41487121582031,32.28580979294661,0.8136119076497865,0.046875,0.4765625
texture_gray,data/misc/5.1.09.tiff,gray,gray,dct,jpeg,30.0,49.27815246582031,31.20425943954651,0.7644759559363169,0.173828125,0.4130859375
texture_gray,data/misc/5.1.09.tiff,gray,gray,dct,noise,5.0,25.453842163085938,34.073270141054,0.8928669581416534,0.896484375,0.0517578125
texture_gray,data/misc/5.1.09.tiff,gray,gray,dct,noise,10.0,100.77107238769531,28.097444805979357,0.6917516204941634,0.572265625,0.2138671875
texture_gray,data/misc/5.1.09.tiff,gray,gray,dct,noise,20.0,401.295654296875,22.096159041619963,0.3923145134906851,0.2890625,0.35546875
texture_gray,data/misc/5.1.09.tiff,gray,gray,dct,resize,0.5,51.550201416015625,31.008499943775067,0.7568030080216962,0.0,0.5
texture_gray,data/misc/5.1.09.tiff,gray,gray,dct,resize,0.75,29.912582397460938,33.372264529333926,0.8552935612153606,0.99609375,0.001953125
texture_gray,data/misc/5.1.09.tiff,gray,gray,dct,resize,1.5,10.459976196289062,37.9354966465712,0.9508269939962111,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dwt,jpeg,90.0,10.872879028320312,37.76735804770701,0.9473394338420018,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dwt,jpeg,70.0,28.722732543945312,33.54854606624063,0.8615952412784914,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dwt,jpeg,50.0,38.27372741699219,32.301796013399645,0.8153014019816773,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dwt,jpeg,30.0,49.33984375,31.198825910409106,0.7659475004346156,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dwt,noise,5.0,25.45208740234375,34.07356954936035,0.8921045739735828,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dwt,noise,10.0,100.76736450195312,28.09760460818309,0.6904454868023536,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dwt,noise,20.0,401.28675842285156,22.096255316567905,0.39140862019642425,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dwt,resize,0.5,51.592010498046875,31.004979085674943,0.7590410187676225,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dwt,resize,0.75,29.926528930664062,33.37024013345403,0.8562013446212985,1.0,0.0
texture_gray,data/misc/5.1.09.tiff,gray,gray,dwt,resize,1.5,10.399856567382812,37.96053011225258,0.95143954219621,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,jpeg,90.0,8.182708740234375,39.00183267929649,0.9817046077040603,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,jpeg,70.0,32.61696243286133,32.99636847452197,0.9395827570528236,0.99951171875,0.000244140625
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,jpeg,50.0,58.72440719604492,30.442617194588966,0.900189872228986,0.99853515625,0.000732421875
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,jpeg,30.0,98.82614517211914,28.182085053302547,0.8460460801469606,0.984375,0.0078125
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,noise,5.0,25.151981353759766,34.125081584695636,0.9394373567385345,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,noise,10.0,99.41819763183594,28.156144753866293,0.8134228191839933,0.9990234375,0.00048828125
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,noise,20.0,394.3064613342285,22.172464671352664,0.5787442344341278,0.98486328125,0.007568359375
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,resize,0.5,363.5342559814453,22.525350199981624,0.6702680531183343,0.76318359375,0.118408203125
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,resize,0.75,183.84398651123047,25.486309320897462,0.850545932725488,0.994140625,0.0029296875
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dft,resize,1.5,58.303688049316406,30.47384333573603,0.9556682398351055,1.0,0.0
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,jpeg,90.0,5.682350158691406,40.5855236849228,0.974383859311752,0.95703125,0.021484375
pattern_gray,data/misc/5.2.08.tiff,gray,gray,dct,jpeg,70.0,15.937110900878906,36.106707661119366,0.9447317800256465,0.05078125,0.474609375
